"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00016840",0,1,0,0,0,1
"WBGene00016841",0,0,0,0,0,0
"WBGene00003950",11,16,8,7,3,10
"WBGene00020625",1,1,1,0,0,0
"WBGene00077599",0,0,0,0,0,0
"WBGene00020626",0,0,0,0,0,0
"WBGene00020627",0,0,0,5,4,1
"WBGene00020628",10,7,9,3,3,2
"WBGene00020629",6,1,2,2,1,1
"WBGene00020653",0,0,0,0,0,0
"WBGene00020652",3,1,3,0,0,0
"WBGene00003072",4,2,1,4,5,2
"WBGene00018528",0,0,0,0,0,0
"WBGene00018529",0,0,0,0,0,0
"WBGene00018527",0,0,0,0,0,0
"WBGene00018530",0,0,0,0,0,0
"WBGene00018531",0,0,0,2,1,5
"WBGene00018526",0,0,0,0,0,0
"WBGene00018525",0,0,0,0,0,0
"WBGene00017909",0,0,0,0,0,0
"WBGene00017910",0,0,0,0,1,0
"WBGene00000197",23,15,15,9,7,5
"WBGene00000779",8,21,18,21,36,25
"WBGene00017908",2,0,1,0,1,0
"WBGene00006805",6,3,0,4,3,3
"WBGene00018868",0,0,0,0,0,0
"WBGene00006820",3,5,4,15,24,17
"WBGene00015631",0,0,0,0,0,0
"WBGene00016066",0,0,1,0,2,1
"WBGene00016064",0,0,0,0,0,0
"WBGene00016063",0,0,0,0,0,0
"WBGene00000867",3,9,6,0,1,0
"WBGene00019254",0,1,0,0,0,0
"WBGene00019253",0,0,0,0,0,0
"WBGene00003029",0,0,0,0,0,0
"WBGene00002696",3,3,2,1,1,0
"WBGene00017085",13,11,9,10,5,8
"WBGene00017087",1,1,0,0,0,1
"WBGene00017088",4,10,8,2,5,6
"WBGene00017084",3,5,1,1,2,0
"WBGene00017089",0,1,0,1,1,1
"WBGene00077701",0,0,1,2,2,1
"WBGene00017090",0,0,0,0,0,0
"WBGene00020040",0,0,0,0,0,0
"WBGene00020039",0,0,0,0,0,0
"WBGene00020032",0,0,0,0,0,0
"WBGene00020033",0,0,0,0,0,0
"WBGene00020034",0,0,0,0,0,0
"WBGene00002137",2,1,3,1,2,3
"WBGene00002138",1,1,0,1,0,4
"WBGene00002139",0,0,0,0,1,2
"WBGene00020035",3,3,3,1,0,0
"WBGene00020036",3,7,2,5,0,3
"WBGene00020037",2,0,1,1,1,0
"WBGene00004464",11,13,6,11,11,7
"WBGene00020038",1,3,5,6,4,1
"WBGene00020031",14,10,12,8,6,8
"WBGene00020030",4,4,1,0,1,0
"WBGene00004093",1,3,0,0,0,2
"WBGene00015975",3,2,2,6,1,3
"WBGene00015974",4,1,0,1,1,1
"WBGene00015972",0,0,1,0,0,1
"WBGene00001985",5,4,0,1,1,0
"WBGene00015971",4,3,6,0,1,0
"WBGene00015970",0,0,0,1,2,1
"WBGene00015976",3,0,3,1,0,0
"WBGene00003516",0,0,1,0,1,1
"WBGene00016605",0,0,0,4,0,1
"WBGene00003584",1,1,2,1,0,1
"WBGene00016606",3,2,1,0,0,1
"WBGene00007001",4,6,5,1,1,1
"WBGene00016608",1,1,3,2,5,5
"WBGene00016609",1,0,1,0,0,1
"WBGene00016603",8,6,6,2,1,2
