"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00077491",0,0,0,0,0,0
"WBGene00010697",7,4,8,2,2,5
"WBGene00002263",21,18,8,35,19,12
"WBGene00011543",1,2,4,0,2,3
"WBGene00011544",0,0,0,0,0,0
"WBGene00010177",1,0,0,0,0,0
"WBGene00303063",0,0,0,0,0,0
"WBGene00010178",1,1,2,3,4,1
"WBGene00006169",0,0,0,0,0,0
"WBGene00010183",0,0,1,0,0,0
"WBGene00010179",0,0,0,0,0,0
"WBGene00010180",0,0,0,0,0,0
"WBGene00010181",0,0,0,0,0,0
"WBGene00010182",0,0,0,0,0,0
"WBGene00011001",0,0,0,0,0,1
"WBGene00011002",0,0,0,0,0,0
"WBGene00003611",1,0,0,0,0,0
"WBGene00011004",0,0,0,0,0,0
"WBGene00011003",0,0,1,1,3,3
"WBGene00011005",0,0,0,0,0,0
"WBGene00011008",0,0,0,2,1,1
"WBGene00005127",0,0,0,0,0,0
"WBGene00011006",1,0,2,5,9,2
"WBGene00044044",0,0,0,0,0,0
"WBGene00007422",0,1,1,1,1,2
"WBGene00007423",0,0,0,0,0,0
"WBGene00007431",0,0,0,1,0,0
"WBGene00007424",0,1,0,0,0,0
"WBGene00007425",0,0,0,0,0,0
"WBGene00007426",0,0,0,0,0,0
"WBGene00007432",0,0,0,0,0,0
"WBGene00044012",0,0,0,0,0,0
"WBGene00007427",0,0,0,0,1,1
"WBGene00007430",0,0,0,2,0,0
"WBGene00000142",3,9,8,2,2,2
"WBGene00007428",10,5,6,1,4,4
"WBGene00303036",1,0,0,0,0,0
"WBGene00007429",3,2,2,0,1,1
"WBGene00008254",0,1,1,0,0,1
"WBGene00008247",0,0,0,0,0,1
"WBGene00008248",0,0,0,0,0,0
"WBGene00008249",0,0,0,0,0,0
"WBGene00008250",0,0,0,0,0,0
"WBGene00008251",0,0,0,0,0,0
"WBGene00008255",0,0,1,2,0,1
"WBGene00008252",0,0,0,0,1,1
"WBGene00001172",2,4,3,15,8,11
"WBGene00000840",3,3,6,2,0,4
"WBGene00014105",0,0,0,0,0,0
"WBGene00194912",0,0,0,1,3,2
"WBGene00014106",0,0,0,1,0,0
"WBGene00014107",0,0,0,0,0,0
"WBGene00014108",2,0,1,6,5,6
"WBGene00014109",2,4,3,1,2,3
"WBGene00014112",3,4,0,0,0,0
"WBGene00303100",1,0,0,0,0,0
"WBGene00050936",0,1,0,0,0,0
"WBGene00014111",1,3,2,0,0,0
"WBGene00014114",9,6,8,1,1,2
"WBGene00006489",3,3,1,1,0,1
"WBGene00014113",7,3,1,3,2,4
"WBGene00044020",0,0,0,0,0,0
"WBGene00007540",0,0,0,0,0,0
"WBGene00044174",1,0,0,0,0,0
"WBGene00044175",0,0,0,0,0,0
"WBGene00194780",0,0,0,0,0,0
"WBGene00007536",1,1,0,1,1,1
"WBGene00007535",0,0,0,0,0,0
"WBGene00007541",0,0,0,0,0,0
"WBGene00007542",0,0,0,0,0,0
"WBGene00007543",0,0,0,0,0,0
"WBGene00007544",0,0,0,0,0,0
"WBGene00006226",0,0,0,0,0,0
"WBGene00007534",10,7,6,4,2,4
"WBGene00007537",0,0,0,0,0,0
"WBGene00195157",0,0,0,0,0,0
"WBGene00000721",0,0,0,0,0,0
"WBGene00007538",0,0,0,2,0,2
"WBGene00000102",8,13,5,6,5,3
"WBGene00004405",6,7,1,2,7,1
"WBGene00012494",1,0,0,0,0,0
"WBGene00005530",0,0,0,0,0,0
"WBGene00004364",0,0,2,2,1,0
"WBGene00206471",0,0,0,0,0,0
"WBGene00003090",21,30,24,54,68,49
"WBGene00003091",9,8,11,15,15,12
"WBGene00003092",0,0,0,0,2,0
"WBGene00007096",0,0,0,0,0,0
"WBGene00007104",0,0,1,0,0,0
"WBGene00000722",0,4,2,2,5,5
"WBGene00000723",0,1,0,1,3,0
"WBGene00007097",0,1,0,0,0,0
"WBGene00000491",0,0,0,0,1,0
"WBGene00001533",0,0,0,0,0,0
"WBGene00007099",0,1,1,1,1,1
"WBGene00007100",3,4,2,3,1,3
"WBGene00007101",0,2,0,2,2,0
"WBGene00001646",0,1,0,0,0,0
"WBGene00007102",4,4,3,2,1,1
"WBGene00007103",1,2,0,2,2,3
"WBGene00000200",6,9,10,4,4,2
"WBGene00010625",5,3,0,5,2,2
"WBGene00050947",0,0,0,0,0,0
"WBGene00010626",3,1,4,6,1,2
"WBGene00010632",0,0,0,0,0,0
"WBGene00010627",21,28,24,14,19,12
"WBGene00010629",3,6,4,3,2,5
"WBGene00010628",0,0,1,0,0,1
"WBGene00010630",0,1,0,1,0,0
"WBGene00010631",18,11,7,9,2,7
"WBGene00005532",0,0,0,0,0,0
"WBGene00007070",3,1,1,3,2,1
"WBGene00077503",0,0,0,0,0,0
"WBGene00000024",0,0,0,0,0,0
"WBGene00004098",0,0,0,0,0,0
"WBGene00004964",0,0,0,2,2,1
"WBGene00007071",4,3,6,6,5,8
"WBGene00000724",0,0,0,0,0,0
"WBGene00007072",0,1,0,0,0,0
"WBGene00007073",0,0,0,0,1,1
"WBGene00008875",0,0,0,0,0,0
"WBGene00008874",0,0,0,0,0,0
"WBGene00195181",0,0,0,0,0,0
"WBGene00044013",0,0,0,0,0,0
"WBGene00044014",0,0,0,0,0,0
"WBGene00008872",0,0,0,0,0,0
"WBGene00000602",0,0,1,0,0,0
"WBGene00000601",1,0,0,0,0,0
"WBGene00000144",3,5,1,1,1,0
"WBGene00008871",0,0,0,1,0,4
"WBGene00012529",0,0,1,2,2,1
"WBGene00012527",1,4,2,3,1,1
"WBGene00004909",0,0,0,3,0,1
"WBGene00012528",10,5,8,4,0,4
"WBGene00012530",2,6,5,9,11,12
"WBGene00009058",1,0,0,1,1,3
"WBGene00009060",1,0,0,0,0,0
"WBGene00009059",0,0,0,0,0,0
"WBGene00001178",2,1,1,1,3,3
"WBGene00012532",0,0,0,0,1,0
"WBGene00303085",0,0,0,0,0,0
"WBGene00012531",1,1,0,7,2,3
"WBGene00003570",0,0,0,0,0,0
"WBGene00000173",0,0,0,0,0,0
"WBGene00007946",0,0,0,1,0,0
"WBGene00007948",0,0,0,3,4,2
"WBGene00007947",0,0,1,0,3,2
"WBGene00044024",0,0,0,0,1,0
"WBGene00044016",0,0,0,0,0,0
"WBGene00007949",0,0,0,0,0,0
"WBGene00007950",1,0,0,0,1,0
"WBGene00007951",0,0,0,0,0,0
"WBGene00007952",13,13,9,3,6,4
"WBGene00007953",0,0,0,0,0,0
"WBGene00009108",0,0,0,0,0,0
"WBGene00009107",0,0,0,0,0,0
"WBGene00006460",17,26,10,3,7,6
"WBGene00195256",0,0,0,0,0,0
"WBGene00009109",0,0,0,0,0,0
"WBGene00009110",0,0,0,0,0,0
"WBGene00005112",0,0,0,0,0,0
"WBGene00009338",0,0,0,0,0,0
"WBGene00009339",0,0,0,0,0,0
"WBGene00009340",1,0,1,1,1,3
"WBGene00000725",0,0,0,0,0,0
"WBGene00000298",3,1,1,3,2,5
"WBGene00006934",10,3,8,10,10,5
"WBGene00011891",5,0,6,9,9,5
"WBGene00011890",2,4,3,2,3,0
"WBGene00011892",1,3,4,2,1,1
"WBGene00003065",5,4,3,6,6,5
"WBGene00011893",0,0,0,3,3,2
"WBGene00005189",0,0,0,0,0,0
"WBGene00011894",1,0,0,0,0,0
"WBGene00011895",0,1,1,0,1,1
"WBGene00011896",0,0,0,0,0,0
"WBGene00011898",13,4,7,0,0,0
"WBGene00011897",11,2,5,2,2,4
"WBGene00010418",3,2,3,2,3,4
"WBGene00010375",0,0,0,1,0,0
"WBGene00003114",0,0,0,1,0,0
"WBGene00007862",0,0,0,0,0,0
"WBGene00007863",0,0,0,2,2,2
"WBGene00206383",0,0,0,0,0,0
"WBGene00000174",0,0,0,0,0,0
"WBGene00044286",0,0,0,0,0,0
"WBGene00009255",0,0,0,0,0,0
"WBGene00009256",2,1,2,1,0,1
"WBGene00005022",5,8,8,3,8,8
"WBGene00006667",0,0,0,0,0,0
"WBGene00000445",0,0,0,0,0,0
"WBGene00001747",11,10,6,13,10,5
"WBGene00219209",0,0,0,0,0,0
"WBGene00220253",0,0,0,0,0,0
"WBGene00004083",0,0,0,0,1,1
"WBGene00012117",12,4,8,4,4,8
"WBGene00003405",0,4,3,4,1,1
"WBGene00013862",2,4,2,0,1,0
"WBGene00013863",0,0,0,0,0,0
"WBGene00005610",0,0,0,0,0,0
"WBGene00005609",0,0,0,0,0,0
"WBGene00009238",0,0,0,0,1,2
"WBGene00009236",0,0,0,0,0,0
"WBGene00009237",6,7,7,5,11,7
"WBGene00009240",0,0,0,0,0,0
"WBGene00009239",0,0,0,3,1,1
"WBGene00009241",1,0,0,0,0,1
"WBGene00009242",0,0,0,0,0,0
"WBGene00003838",1,0,0,0,0,1
"WBGene00008370",2,0,0,0,0,1
"WBGene00003923",13,10,13,10,6,9
"WBGene00008371",4,6,8,1,0,0
"WBGene00008372",1,1,0,0,0,0
"WBGene00008375",0,0,1,1,0,1
"WBGene00008376",0,0,0,0,0,0
"WBGene00008377",14,16,19,1,0,0
"WBGene00008378",25,26,20,0,0,0
"WBGene00194677",0,1,0,0,0,0
"WBGene00005399",0,0,0,0,0,0
"WBGene00077783",0,0,0,1,1,0
"WBGene00008379",1,1,0,0,0,0
"WBGene00008380",9,6,8,1,1,1
"WBGene00006481",3,5,7,1,2,4
"WBGene00206498",0,0,0,0,0,0
"WBGene00007797",1,2,2,3,1,1
"WBGene00002985",9,10,7,3,1,1
"WBGene00007799",0,0,0,2,1,0
"WBGene00007800",0,0,0,0,0,0
"WBGene00010012",0,5,1,2,6,5
"WBGene00009326",0,0,0,0,0,0
"WBGene00009327",0,0,0,0,0,0
"WBGene00009328",0,0,0,0,0,0
"WBGene00043302",1,2,0,0,1,1
"WBGene00009334",3,6,0,0,5,3
"WBGene00009329",2,1,1,0,0,1
"WBGene00009336",1,2,2,0,2,2
"WBGene00009330",0,2,0,0,1,1
"WBGene00009335",0,1,0,0,0,0
"WBGene00001303",13,14,14,12,8,7
"WBGene00009331",0,0,0,0,0,0
"WBGene00005001",0,0,1,1,1,1
"WBGene00009332",0,0,0,0,0,0
"WBGene00009325",0,0,0,1,0,0
"WBGene00009333",0,0,0,0,0,0
"WBGene00010235",0,0,0,0,0,0
"WBGene00003549",0,0,1,0,0,0
"WBGene00077682",0,0,0,1,1,0
"WBGene00010239",0,0,0,0,0,0
"WBGene00010236",1,0,0,0,1,0
"WBGene00010237",0,0,0,0,0,0
"WBGene00010238",0,2,2,5,2,3
"WBGene00008923",0,0,1,0,0,1
"WBGene00008922",2,1,0,4,3,5
"WBGene00303011",2,1,1,5,5,4
"WBGene00077761",4,3,1,4,9,4
"WBGene00008914",0,0,0,1,1,3
"WBGene00000726",0,0,1,1,0,0
"WBGene00008915",0,0,1,0,0,2
"WBGene00008916",0,0,0,8,8,17
"WBGene00008917",0,1,0,0,0,1
"WBGene00023503",0,0,0,0,0,1
"WBGene00008918",5,6,2,5,0,5
"WBGene00008919",3,3,4,2,2,1
"WBGene00008921",12,15,16,0,1,1
"WBGene00008920",83,92,91,53,40,51
"WBGene00219325",1,1,0,0,0,0
"WBGene00009968",1,1,0,0,1,1
"WBGene00009965",0,0,0,0,0,0
"WBGene00009969",0,0,0,0,0,0
"WBGene00009966",4,2,3,0,0,2
"WBGene00009967",0,0,0,0,0,0
"WBGene00007553",0,0,0,0,0,1
"WBGene00001991",0,0,0,1,1,0
"WBGene00303040",0,0,0,1,0,0
"WBGene00007554",3,5,4,5,7,4
"WBGene00006443",2,4,4,0,2,2
"WBGene00185117",0,0,0,1,0,0
"WBGene00077699",0,0,0,0,0,0
"WBGene00008106",0,0,0,0,0,0
"WBGene00008105",0,0,0,0,0,0
"WBGene00045379",0,0,0,1,0,0
"WBGene00000981",2,2,1,1,3,2
"WBGene00005295",0,0,0,0,0,0
"WBGene00271444",1,0,0,0,0,0
"WBGene00011429",0,0,0,0,0,1
"WBGene00005296",0,1,0,0,0,0
"WBGene00011427",0,0,0,0,0,0
"WBGene00077693",0,1,0,4,1,3
"WBGene00050889",0,0,0,0,0,0
"WBGene00011428",1,0,0,0,2,1
"WBGene00011430",0,0,1,2,0,0
"WBGene00000065",11,20,15,26,42,34
"WBGene00000064",60,44,56,48,53,60
"WBGene00000063",4,13,9,14,25,16
"WBGene00012776",1,0,1,0,2,0
"WBGene00012777",1,0,1,0,1,0
"WBGene00012778",0,0,0,0,0,0
"WBGene00012779",0,0,0,0,1,0
"WBGene00012780",0,0,0,1,0,0
"WBGene00010405",11,9,17,4,5,7
"WBGene00010406",27,5,10,11,9,11
"WBGene00010407",2,1,1,0,1,1
"WBGene00010408",3,1,3,2,1,1
"WBGene00007385",31,34,22,42,33,30
"WBGene00007390",0,3,0,0,0,2
"WBGene00007386",2,3,4,7,4,2
"WBGene00007387",5,5,1,0,0,0
"WBGene00007389",0,1,0,0,1,0
"WBGene00007388",0,0,0,0,1,0
"WBGene00007391",0,1,0,0,2,0
"WBGene00219420",0,0,0,0,0,0
"WBGene00003771",5,1,3,4,2,2
"WBGene00011838",0,0,0,1,0,0
"WBGene00005196",0,0,0,0,0,0
"WBGene00005195",0,0,0,0,0,0
"WBGene00005199",0,0,0,0,0,0
"WBGene00005198",0,0,0,0,0,0
"WBGene00005197",0,0,0,0,0,0
"WBGene00011839",1,1,0,2,0,0
"WBGene00001663",0,0,0,0,0,0
"WBGene00012152",0,0,1,0,1,0
"WBGene00010741",0,0,0,1,0,0
"WBGene00010742",1,0,0,0,0,1
"WBGene00010743",0,0,0,0,1,0
"WBGene00010744",2,0,0,0,0,0
"WBGene00011830",0,2,0,2,1,2
"WBGene00011831",3,2,0,0,1,3
"WBGene00011832",1,1,0,0,1,2
"WBGene00004152",10,5,3,2,2,2
"WBGene00011833",0,0,0,1,5,4
"WBGene00011834",10,5,7,2,1,3
"WBGene00002072",5,7,2,2,2,0
"WBGene00011835",8,12,3,7,2,1
"WBGene00003509",0,0,1,0,1,0
"WBGene00011836",0,0,0,0,0,0
"WBGene00050898",0,0,0,4,3,0
"WBGene00011837",0,0,0,0,0,0
"WBGene00008552",0,0,0,0,0,0
"WBGene00008551",0,0,0,0,0,0
"WBGene00077514",0,0,0,0,0,0
"WBGene00008550",0,0,0,0,0,0
"WBGene00000539",1,1,0,0,1,0
"WBGene00006167",0,0,0,0,0,0
"WBGene00006166",0,0,0,0,0,0
"WBGene00007283",1,0,0,0,0,0
"WBGene00007282",0,1,0,0,0,0
"WBGene00001645",3,8,8,5,4,4
"WBGene00007281",0,0,0,0,1,0
"WBGene00007279",0,0,0,0,0,0
"WBGene00011403",0,0,0,0,0,0
"WBGene00011402",0,0,0,0,0,0
"WBGene00005270",0,0,0,0,0,0
"WBGene00005269",0,0,0,0,0,0
"WBGene00005268",0,0,0,0,0,0
"WBGene00004910",0,1,0,1,0,1
"WBGene00011404",0,0,2,0,1,0
"WBGene00009830",0,0,0,0,0,0
"WBGene00009831",0,0,0,0,1,1
"WBGene00006189",0,0,0,0,0,0
"WBGene00009829",5,7,5,12,6,8
"WBGene00009833",0,0,0,0,0,0
"WBGene00044203",0,0,0,0,0,1
"WBGene00011383",0,0,0,0,0,0
"WBGene00001716",0,0,0,1,1,0
"WBGene00011381",0,0,0,0,0,0
"WBGene00011382",0,0,0,0,0,1
"WBGene00000554",1,1,0,3,1,2
"WBGene00010109",1,0,0,1,0,0
"WBGene00000727",0,0,0,0,0,0
"WBGene00010108",0,0,0,0,0,0
"WBGene00000728",0,0,2,0,2,1
"WBGene00010526",0,0,0,5,4,2
"WBGene00194783",0,0,0,3,2,2
"WBGene00003535",0,0,0,0,0,0
"WBGene00010523",0,0,0,0,0,0
"WBGene00003537",0,0,0,0,0,0
"WBGene00003536",0,0,0,16,16,17
"WBGene00003538",0,0,0,4,4,2
"WBGene00010524",0,0,0,0,0,0
"WBGene00010525",0,0,0,0,0,0
"WBGene00001712",0,0,0,0,0,0
"WBGene00000951",0,0,1,0,0,0
"WBGene00000955",0,0,0,1,0,1
"WBGene00077782",0,0,0,0,1,0
"WBGene00010191",0,0,0,0,2,0
"WBGene00010192",0,1,0,0,1,0
"WBGene00003248",1,0,0,0,0,0
"WBGene00000729",0,0,0,0,1,0
"WBGene00011709",0,0,0,0,0,0
"WBGene00006486",0,0,0,0,1,1
"WBGene00000007",0,0,0,2,2,2
"WBGene00003539",5,2,0,2,1,2
"WBGene00003540",0,0,0,0,0,0
"WBGene00003541",0,0,0,1,0,0
"WBGene00011710",0,0,0,0,0,0
"WBGene00194784",0,0,0,0,0,0
"WBGene00011715",0,0,0,0,0,0
"WBGene00000730",0,0,1,0,1,0
"WBGene00005227",0,0,0,0,0,0
"WBGene00011712",0,0,0,0,0,0
"WBGene00000982",0,1,1,0,0,1
"WBGene00194712",0,0,0,0,0,0
"WBGene00011713",0,0,0,0,1,1
"WBGene00044019",0,0,0,2,7,3
"WBGene00008330",5,3,6,2,3,2
"WBGene00008339",1,1,2,1,2,2
"WBGene00008331",7,10,5,1,1,2
"WBGene00008332",0,0,0,2,2,2
"WBGene00008335",0,0,0,0,0,0
"WBGene00008334",0,0,0,0,0,0
"WBGene00008333",0,0,1,1,1,4
"WBGene00008336",0,0,0,0,1,0
"WBGene00008340",0,0,0,2,1,2
"WBGene00008338",5,8,7,0,3,2
"WBGene00009532",1,2,2,7,3,10
"WBGene00009533",0,0,0,0,1,0
"WBGene00077536",0,0,0,0,0,0
"WBGene00189933",0,0,0,0,0,0
"WBGene00304181",0,0,0,0,0,0
"WBGene00009534",1,0,0,0,2,0
"WBGene00005976",0,0,0,0,0,0
"WBGene00001110",8,2,5,0,2,0
"WBGene00005977",0,0,0,0,0,0
"WBGene00005978",0,0,0,0,0,0
"WBGene00004064",6,3,3,2,0,4
"WBGene00003691",0,0,2,3,0,1
"WBGene00305173",0,0,1,2,0,0
"WBGene00003658",2,2,1,0,2,2
"WBGene00005981",0,0,0,0,0,0
"WBGene00005979",0,0,0,0,0,0
"WBGene00005973",0,0,0,0,0,0
"WBGene00005971",0,0,0,0,0,0
"WBGene00005975",0,0,0,0,0,0
"WBGene00009388",0,1,0,0,2,1
"WBGene00000983",1,2,0,0,0,0
"WBGene00009383",0,0,0,0,0,1
"WBGene00009384",0,0,0,0,0,0
"WBGene00009385",1,3,1,4,1,2
"WBGene00009386",0,0,1,3,0,0
"WBGene00003762",3,7,1,1,1,1
"WBGene00009387",0,0,0,0,0,0
"WBGene00009389",0,0,0,0,1,0
"WBGene00012100",0,0,0,1,0,3
"WBGene00000249",3,1,1,2,1,0
"WBGene00004806",7,4,4,0,3,3
"WBGene00012101",0,0,0,3,0,3
"WBGene00000449",0,0,0,0,0,1
"WBGene00009791",0,0,0,0,0,0
"WBGene00009790",0,0,0,1,0,0
"WBGene00000146",8,11,9,0,2,3
"WBGene00012281",0,0,0,0,0,0
"WBGene00012280",0,0,0,0,0,0
"WBGene00012282",0,0,0,0,0,0
"WBGene00000453",0,1,0,0,0,1
"WBGene00006609",2,2,0,3,0,6
"WBGene00000907",0,0,0,0,0,0
"WBGene00004359",0,0,0,0,0,0
"WBGene00007118",16,18,5,0,2,2
"WBGene00007117",0,0,0,1,1,4
"WBGene00011436",4,3,3,6,3,3
"WBGene00011437",1,0,0,0,0,0
"WBGene00011438",0,0,0,8,3,6
"WBGene00077538",0,0,0,0,0,0
"WBGene00011439",2,0,0,2,0,0
"WBGene00010075",5,7,3,2,1,2
"WBGene00006373",8,2,2,6,1,8
"WBGene00004768",7,6,6,5,5,9
"WBGene00010077",1,3,1,4,0,0
"WBGene00044631",0,0,0,1,0,0
"WBGene00010079",0,1,2,0,3,1
"WBGene00010082",1,0,1,8,6,6
"WBGene00010080",7,2,5,1,1,1
"WBGene00010081",2,3,1,1,0,0
"WBGene00014300",0,0,0,0,0,1
"WBGene00008407",0,0,0,0,0,0
"WBGene00004258",20,21,24,20,29,30
"WBGene00008408",1,0,0,2,0,0
"WBGene00008409",2,3,3,1,2,1
"WBGene00008410",5,2,3,4,3,4
"WBGene00000731",0,0,0,0,0,1
"WBGene00011261",7,5,6,9,10,13
"WBGene00011262",0,0,0,0,0,0
"WBGene00014826",7,5,6,9,10,13
"WBGene00011266",0,0,0,0,0,0
"WBGene00001978",4,5,5,2,3,1
"WBGene00011263",0,0,0,1,0,0
"WBGene00011264",0,0,0,0,0,0
"WBGene00011265",0,0,0,0,0,1
"WBGene00010788",0,0,0,0,0,1
"WBGene00010789",0,0,0,0,0,0
"WBGene00010790",3,4,3,13,13,13
"WBGene00010791",0,0,0,0,0,0
"WBGene00005967",0,0,0,0,0,0
"WBGene00010792",0,0,0,0,0,0
"WBGene00004855",6,7,5,17,14,19
"WBGene00011270",7,4,5,2,5,7
"WBGene00003886",0,0,0,0,0,0
"WBGene00010284",6,5,6,4,3,4
"WBGene00010285",0,0,1,1,0,0
"WBGene00010286",3,2,3,0,0,0
"WBGene00138720",0,1,0,1,1,0
"WBGene00001466",0,0,1,0,1,0
"WBGene00010289",0,0,0,4,6,4
"WBGene00010288",0,0,0,0,0,0
"WBGene00010290",0,0,0,1,2,0
"WBGene00000781",18,11,10,35,34,33
"WBGene00003235",0,0,1,1,3,2
"WBGene00004917",5,10,14,4,1,0
"WBGene00004501",18,18,11,9,9,9
"WBGene00008258",0,0,5,6,2,2
"WBGene00000876",6,3,3,1,3,5
"WBGene00008259",0,0,0,4,3,5
"WBGene00001553",0,0,0,0,0,0
"WBGene00194785",0,0,0,0,0,0
"WBGene00010204",42,30,33,81,80,69
"WBGene00010205",0,0,0,0,0,0
"WBGene00000073",3,0,0,0,3,3
"WBGene00004032",4,8,5,2,5,7
"WBGene00008644",1,0,0,0,0,1
"WBGene00002241",5,8,4,3,0,2
"WBGene00008645",10,9,7,6,2,3
"WBGene00008646",2,0,1,2,3,1
"WBGene00001095",2,1,0,1,1,2
"WBGene00008647",0,0,0,0,0,0
"WBGene00011087",2,6,4,3,2,3
"WBGene00000533",2,1,3,4,3,1
"WBGene00004138",6,7,7,3,4,4
"WBGene00011088",0,0,0,3,2,2
"WBGene00011089",0,0,1,2,0,2
"WBGene00011090",0,0,0,0,0,2
"WBGene00011093",0,0,0,0,0,0
"WBGene00011092",0,0,0,1,0,0
"WBGene00011094",1,0,1,0,0,1
"WBGene00011095",1,0,1,1,1,1
"WBGene00011096",0,0,0,0,0,0
"WBGene00011097",0,0,0,0,0,0
"WBGene00011099",0,0,0,0,0,0
"WBGene00011098",0,0,0,0,0,0
"WBGene00011100",0,0,0,0,1,1
"WBGene00007547",1,0,0,0,0,0
"WBGene00007546",1,0,0,0,1,1
"WBGene00003726",0,0,0,0,1,0
"WBGene00007548",0,1,0,0,2,2
"WBGene00007549",0,0,1,3,2,2
"WBGene00195250",0,0,0,0,0,0
"WBGene00007551",0,1,0,0,0,0
"WBGene00007550",1,0,0,0,1,1
"WBGene00007757",4,1,1,1,0,0
"WBGene00007753",0,2,0,2,2,2
"WBGene00007755",0,0,0,0,1,0
"WBGene00000490",0,0,0,0,1,0
"WBGene00007758",0,0,0,0,0,0
"WBGene00007759",0,0,0,0,0,0
"WBGene00007756",2,3,0,6,9,3
"WBGene00005592",0,0,0,0,1,0
"WBGene00000614",0,0,0,0,0,0
"WBGene00014122",0,0,0,0,0,0
"WBGene00044790",0,0,0,0,0,0
"WBGene00014123",3,0,1,0,3,0
"WBGene00014124",13,14,8,1,2,2
"WBGene00005082",0,0,0,0,0,0
"WBGene00014125",0,0,0,1,0,1
"WBGene00001088",5,4,4,2,2,2
"WBGene00004384",3,7,0,0,0,0
"WBGene00014098",5,6,9,7,2,8
"WBGene00014099",0,0,0,0,0,0
"WBGene00003057",0,0,0,0,0,1
"WBGene00006874",2,0,1,2,0,0
"WBGene00003515",10,6,11,15,15,23
"WBGene00011450",0,0,1,0,0,0
"WBGene00011449",15,9,12,8,6,7
"WBGene00303076",0,0,1,0,0,0
"WBGene00004296",5,8,5,3,0,1
"WBGene00011451",2,1,0,0,2,2
"WBGene00003075",0,0,0,0,0,0
"WBGene00303013",0,0,0,0,1,0
"WBGene00011452",0,0,0,0,0,2
"WBGene00011453",0,0,0,0,0,0
"WBGene00006539",0,1,0,0,1,0
"WBGene00010091",0,0,0,9,10,12
"WBGene00006677",1,0,0,2,0,1
"WBGene00010094",3,3,4,2,0,1
"WBGene00010093",8,7,7,4,3,3
"WBGene00044791",0,0,0,0,0,0
"WBGene00010098",0,0,0,0,0,0
"WBGene00010096",3,8,4,0,1,2
"WBGene00010097",5,11,11,5,8,7
"WBGene00005241",0,0,0,0,0,0
"WBGene00001493",4,3,0,4,3,3
"WBGene00303048",0,0,0,0,0,0
"WBGene00005202",0,0,0,0,0,0
"WBGene00011014",0,0,0,0,0,1
"WBGene00011016",2,4,6,5,5,1
"WBGene00011017",2,2,2,0,2,0
"WBGene00011015",12,10,13,20,8,12
"WBGene00006668",0,0,0,0,0,0
"WBGene00009092",2,4,5,3,2,5
"WBGene00004898",0,1,0,3,1,0
"WBGene00009093",0,0,1,0,0,1
"WBGene00005018",1,1,1,0,2,1
"WBGene00009094",0,0,1,4,1,0
"WBGene00009096",0,0,1,3,1,0
"WBGene00001539",1,2,3,1,2,1
"WBGene00009097",1,2,3,1,2,1
"WBGene00009095",0,0,0,0,0,0
"WBGene00044218",0,1,0,0,0,0
"WBGene00010461",0,0,0,0,0,0
"WBGene00010474",0,0,0,1,3,0
"WBGene00006669",0,0,0,0,1,0
"WBGene00010464",0,1,0,0,0,0
"WBGene00010465",6,6,5,1,0,0
"WBGene00303067",0,0,0,1,0,0
"WBGene00010466",0,0,0,2,0,0
"WBGene00010467",0,0,0,0,0,0
"WBGene00010468",0,0,0,0,0,0
"WBGene00010469",0,0,0,0,0,0
"WBGene00010470",0,1,0,7,4,3
"WBGene00010473",0,0,0,0,0,0
"WBGene00010472",0,0,1,0,0,1
"WBGene00010471",1,4,0,2,1,1
"WBGene00008296",1,3,0,6,2,1
"WBGene00008297",0,0,0,0,0,0
"WBGene00008298",0,1,2,6,3,3
"WBGene00008299",0,0,0,1,3,2
"WBGene00008300",0,0,0,0,0,0
"WBGene00045400",0,0,0,0,0,0
"WBGene00005249",0,0,0,0,0,0
"WBGene00138721",0,0,0,0,0,0
"WBGene00008301",0,1,0,0,0,0
"WBGene00008302",0,0,0,0,0,0
"WBGene00008303",0,0,0,0,0,0
"WBGene00008304",0,0,0,0,0,0
"WBGene00009200",2,2,2,1,2,3
"WBGene00001179",0,2,3,4,1,1
"WBGene00009201",3,4,4,1,0,4
"WBGene00000228",8,13,15,22,15,20
"WBGene00012242",0,0,0,0,0,0
"WBGene00002133",1,0,1,1,0,0
"WBGene00012244",3,3,0,1,0,1
"WBGene00012243",9,2,5,0,1,2
"WBGene00012245",4,10,4,5,2,5
"WBGene00012142",0,0,0,1,0,0
"WBGene00012145",0,0,0,0,0,0
"WBGene00012143",0,0,0,0,0,0
"WBGene00012144",3,1,2,9,4,11
"WBGene00000285",0,0,1,1,1,1
"WBGene00007552",0,0,0,0,0,0
"WBGene00009721",0,0,0,0,0,0
"WBGene00009722",0,0,0,0,0,0
"WBGene00009723",0,2,2,2,1,3
"WBGene00009724",5,3,1,1,5,6
"WBGene00004759",6,6,8,8,10,9
"WBGene00008452",3,3,3,3,7,0
"WBGene00008454",0,0,0,0,0,0
"WBGene00001732",0,0,0,0,0,0
"WBGene00008453",0,0,0,0,1,0
"WBGene00007584",0,0,0,9,7,16
"WBGene00007590",0,0,0,0,0,0
"WBGene00007585",1,1,0,0,1,1
"WBGene00007587",9,6,5,9,7,5
"WBGene00007586",14,2,7,3,3,6
"WBGene00303041",0,0,0,0,0,0
"WBGene00007588",27,27,21,8,14,5
"WBGene00007589",0,1,1,0,1,0
"WBGene00119204",0,0,0,0,0,0
